"Cluster","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"c-2","hsa04215","Apoptosis - multiple species","3/58","32/8086",0.0014987130192601,0.0204055541853106,0.0155332199567039,"mrna_CYCS/mrna_CASP3/mrna_APAF1",3
"c-2","hsa05167","Kaposi sarcoma-associated herpesvirus infection","6/58","194/8086",0.00253301767262706,0.0320245805753564,0.0243779144433281,"mrna_TRAF3/mrna_CYCS/mrna_CASP3/mrna_IL6ST/mrna_HIF1A/mrna_EP300",6
"c-2","hsa05162","Measles","5/58","139/8086",0.00308177841239715,0.0363649852662864,0.0276819394236376,"mrna_TRAF3/mrna_CYCS/mrna_CASP3/mrna_APAF1/mrna_TNFAIP3",5
"c-2","hsa05417","Lipid and atherosclerosis","6/58","215/8086",0.00421310158475935,0.0416882225502684,0.0317341212395739,"mrna_RXRA/mrna_TRAF3/mrna_CYCS/mrna_CASP3/mrna_ATF4/mrna_APAF1",6
"c-2","hsa05014","Amyotrophic lateral sclerosis","8/58","365/8086",0.0042348855292106,0.0416882225502684,0.0317341212395739,"mrna_CYCS/mrna_DCTN1/mrna_ATXN2/mrna_CASP3/mrna_ATF4/mrna_APAF1/mrna_SDHD/mrna_GPX1",8
"c-2","hsa04350","TGF-beta signaling pathway","4/58","94/8086",0.00450001564684073,0.0416882225502684,0.0317341212395739,"mrna_SMAD1/mrna_ID1/mrna_EP300/mrna_ACVR1",4
"c-2","hsa05166","Human T-cell leukemia virus 1 infection","6/58","219/8086",0.0046093860017619,0.0416882225502684,0.0317341212395739,"mrna_PTEN/mrna_CHEK1/mrna_ATF4/mrna_EGR1/mrna_SRF/mrna_EP300",6
"c-2","hsa04150","mTOR signaling pathway","5/58","155/8086",0.00490872789862899,0.0416882225502684,0.0317341212395739,"mrna_NPRL2/mrna_DVL3/mrna_IRS1/mrna_PTEN/mrna_TSC2",5
"c-2","hsa05215","Prostate cancer","4/58","97/8086",0.00503237702739527,0.0416882225502684,0.0317341212395739,"mrna_PTEN/mrna_ATF4/mrna_EP300/mrna_PDGFC",4
"c-2","hsa05160","Hepatitis C","5/58","157/8086",0.00518158698364918,0.0416882225502684,0.0317341212395739,"mrna_RXRA/mrna_TRAF3/mrna_CYCS/mrna_CASP3/mrna_APAF1",5
"c-2","hsa04933","AGE-RAGE signaling pathway in diabetic complications","4/58","100/8086",0.00560556971447959,0.043138514759256,0.0328381200665166,"mrna_CASP3/mrna_FN1/mrna_EGR1/mrna_COL4A2",4
"c-2","hsa05146","Amoebiasis","4/58","102/8086",0.00601105441398572,0.0443315263031447,0.0337462703943058,"mrna_HSPB1/mrna_CASP3/mrna_FN1/mrna_COL4A2",4
"c-2","hsa05022","Pathways of neurodegeneration - multiple diseases","9/58","476/8086",0.00634757412781999,0.0449408248249655,0.0342100837204614,"mrna_CYCS/mrna_DVL3/mrna_DCTN1/mrna_ATXN2/mrna_CASP3/mrna_ATF4/mrna_APAF1/mrna_SDHD/mrna_GPX1",9
"c-2","hsa03460","Fanconi anemia pathway","3/58","54/8086",0.00670449019400207,0.0456421063207064,0.0347439167948285,"mrna_BLM/mrna_REV3L/mrna_RAD51",3
"c-2","hsa04659","Th17 cell differentiation","4/58","108/8086",0.00734390352779967,0.0475463210941402,0.0361934528697588,"mrna_RXRA/mrna_IL6ST/mrna_IL6R/mrna_HIF1A",4
"c-2","hsa04066","HIF-1 signaling pathway","4/58","109/8086",0.00758351447611434,0.0475463210941402,0.0361934528697588,"mrna_IL6R/mrna_HIF1A/mrna_VHL/mrna_EP300",4
"c-2","hsa05134","Legionellosis","3/58","57/8086",0.00779007520751449,0.0475463210941402,0.0361934528697588,"mrna_CYCS/mrna_CASP3/mrna_APAF1",3
"c-2","hsa04668","TNF signaling pathway","4/58","112/8086",0.00833320623952896,0.0491659168132208,0.0374263297775336,"mrna_TRAF3/mrna_CASP3/mrna_ATF4/mrna_TNFAIP3",4
"c-11","hsa04625","C-type lectin receptor signaling pathway","7/42","104/8086",8.85726395959861e-07,0.000153230666501056,6.99257681020943e-05,"mrna_RRAS2/mrna_MALT1/mrna_PTPN11/mrna_PIK3R1/mrna_SRC/mrna_PIK3CD/mrna_RELB",7
"c-11","hsa05167","Kaposi sarcoma-associated herpesvirus infection","8/42","194/8086",5.57189337858362e-06,0.000481968777247483,0.000219943159680933,"mrna_FOS/mrna_HIF1A/mrna_LYN/mrna_PIK3R1/mrna_TYK2/mrna_RPS27A/mrna_SRC/mrna_PIK3CD",8
"c-11","hsa05211","Renal cell carcinoma","5/42","69/8086",2.60185925706489e-05,0.00110799652759302,0.000505626647821578,"mrna_HIF1A/mrna_PTPN11/mrna_PIK3R1/mrna_PIK3CD/mrna_ETS1",5
"c-11","hsa04917","Prolactin signaling pathway","5/42","70/8086",2.79131618944303e-05,0.00110799652759302,0.000505626647821578,"mrna_FOS/mrna_PIK3R1/mrna_FOXO3/mrna_SRC/mrna_PIK3CD",5
"c-11","hsa04137","Mitophagy - animal","5/42","72/8086",3.20230210287e-05,0.00110799652759302,0.000505626647821578,"mrna_RRAS2/mrna_HIF1A/mrna_RPS27A/mrna_FOXO3/mrna_SRC",5
"c-11","hsa04380","Osteoclast differentiation","6/42","128/8086",4.60040977072071e-05,0.00132645148389114,0.00060531707509483,"mrna_FOS/mrna_PIK3R1/mrna_TYK2/mrna_TGFBR2/mrna_PIK3CD/mrna_RELB",6
"c-11","hsa04662","B cell receptor signaling pathway","5/42","82/8086",6.01080966765252e-05,0.00148552867500555,0.000677910864772841,"mrna_FOS/mrna_MALT1/mrna_LYN/mrna_PIK3R1/mrna_PIK3CD",5
"c-11","hsa05205","Proteoglycans in cancer","7/42","205/8086",7.71353674926602e-05,0.00166805232202878,0.000761204284467042,"mrna_RRAS2/mrna_HIF1A/mrna_PTPN11/mrna_PIK3R1/mrna_EZR/mrna_SRC/mrna_PIK3CD",7
"c-11","hsa05235","PD-L1 expression and PD-1 checkpoint pathway in cancer","5/42","89/8086",8.90262193724964e-05,0.00171128177238243,0.000780931748881548,"mrna_FOS/mrna_HIF1A/mrna_PTPN11/mrna_PIK3R1/mrna_PIK3CD",5
"c-11","hsa05166","Human T-cell leukemia virus 1 infection","7/42","219/8086",0.000116866498604204,0.00196277187148296,0.000895697537944765,"mrna_FOS/mrna_MAD2L1/mrna_PIK3R1/mrna_TGFBR2/mrna_PIK3CD/mrna_ETS1/mrna_RELB",7
"c-11","hsa05208","Chemical carcinogenesis - reactive oxygen species","7/42","223/8086",0.000130863401880631,0.00196277187148296,0.000895697537944765,"mrna_FOS/mrna_HIF1A/mrna_PTPN11/mrna_PIK3R1/mrna_FOXO3/mrna_SRC/mrna_PIK3CD",7
"c-11","hsa04218","Cellular senescence","6/42","156/8086",0.000138354397707382,0.00196277187148296,0.000895697537944765,"mrna_RRAS2/mrna_PIK3R1/mrna_FOXO3/mrna_TGFBR2/mrna_PIK3CD/mrna_ETS1",6
"c-11","hsa05142","Chagas disease","5/42","102/8086",0.000169991051600119,0.00196277187148296,0.000895697537944765,"mrna_FOS/mrna_PIK3R1/mrna_TGFBR2/mrna_PIK3CD/mrna_PPP2R1A",5
"c-11","hsa04630","JAK-STAT signaling pathway","6/42","162/8086",0.000170182532209505,0.00196277187148296,0.000895697537944765,"mrna_PTPN11/mrna_PIK3R1/mrna_TYK2/mrna_LIF/mrna_PIK3CD/mrna_IL7R",6
"c-11","hsa05161","Hepatitis B","6/42","162/8086",0.000170182532209505,0.00196277187148296,0.000895697537944765,"mrna_FOS/mrna_PIK3R1/mrna_TYK2/mrna_SRC/mrna_TGFBR2/mrna_PIK3CD",6
"c-11","hsa04370","VEGF signaling pathway","4/42","59/8086",0.000232702568510187,0.0025160965220164,0.00114820346304369,"mrna_PIK3R1/mrna_SPHK1/mrna_SRC/mrna_PIK3CD",4
"c-11","hsa04152","AMPK signaling pathway","5/42","120/8086",0.00036311571104118,0.00369523635353671,0.00168629587170826,"mrna_PIK3R1/mrna_FOXO3/mrna_PIK3CD/mrna_EEF2K/mrna_PPP2R1A",5
"c-11","hsa04926","Relaxin signaling pathway","5/42","129/8086",0.000506701783107282,0.00486996713764221,0.00222237624169861,"mrna_FOS/mrna_PIK3R1/mrna_SRC/mrna_TGFBR2/mrna_PIK3CD",5
"c-11","hsa04068","FoxO signaling pathway","5/42","131/8086",0.000543714312277721,0.00495066189600241,0.00225920074353624,"mrna_PIK3R1/mrna_FOXO3/mrna_TGFBR2/mrna_PIK3CD/mrna_IL7R",5
"c-11","hsa05220","Chronic myeloid leukemia","4/42","76/8086",0.000615418471328614,0.00532336977699251,0.00242928343945505,"mrna_PTPN11/mrna_PIK3R1/mrna_TGFBR2/mrna_PIK3CD",4
"c-11","hsa05100","Bacterial invasion of epithelial cells","4/42","77/8086",0.000646709081828485,0.00532765100744419,0.00243123714973115,"mrna_MAD2L2/mrna_PIK3R1/mrna_SRC/mrna_PIK3CD",4
"c-11","hsa01521","EGFR tyrosine kinase inhibitor resistance","4/42","79/8086",0.000712654682556964,0.00560405727647067,0.00255737326276423,"mrna_PIK3R1/mrna_FOXO3/mrna_SRC/mrna_PIK3CD",4
"c-11","hsa04072","Phospholipase D signaling pathway","5/42","148/8086",0.000946317205207897,0.00707231304110215,0.00322740175286073,"mrna_RRAS2/mrna_PTPN11/mrna_PIK3R1/mrna_SPHK1/mrna_PIK3CD",5
"c-11","hsa05210","Colorectal cancer","4/42","86/8086",0.000981130132869663,0.00707231304110215,0.00322740175286073,"mrna_FOS/mrna_PIK3R1/mrna_TGFBR2/mrna_PIK3CD",4
"c-11","hsa04666","Fc gamma R-mediated phagocytosis","4/42","97/8086",0.00153617769234773,0.00985827079069989,0.00449875454397622,"mrna_LYN/mrna_PIK3R1/mrna_SPHK1/mrna_PIK3CD",4
"c-11","hsa05131","Shigellosis","6/42","247/8086",0.00159335713875308,0.00985827079069989,0.00449875454397622,"mrna_MALT1/mrna_PIK3R1/mrna_RPS27A/mrna_FOXO3/mrna_SRC/mrna_PIK3CD",6
"c-11","hsa01522","Endocrine resistance","4/42","98/8086",0.00159555827826357,0.00985827079069989,0.00449875454397622,"mrna_FOS/mrna_PIK3R1/mrna_SRC/mrna_PIK3CD",4
"c-11","hsa05231","Choline metabolism in cancer","4/42","98/8086",0.00159555827826357,0.00985827079069989,0.00449875454397622,"mrna_FOS/mrna_HIF1A/mrna_PIK3R1/mrna_PIK3CD",4
"c-11","hsa04914","Progesterone-mediated oocyte maturation","4/42","100/8086",0.00171909301902999,0.0102552790445582,0.00467992654908346,"mrna_MAD2L2/mrna_MAD2L1/mrna_PIK3R1/mrna_PIK3CD",4
"c-11","hsa04660","T cell receptor signaling pathway","4/42","104/8086",0.00198587826472638,0.0114518979932555,0.00522599543349048,"mrna_FOS/mrna_MALT1/mrna_PIK3R1/mrna_PIK3CD",4
"c-11","hsa04659","Th17 cell differentiation","4/42","108/8086",0.00228012834594353,0.0127245872209107,0.00580677847014482,"mrna_FOS/mrna_HIF1A/mrna_TYK2/mrna_TGFBR2",4
"c-11","hsa04668","TNF signaling pathway","4/42","112/8086",0.00260324371369083,0.014073786327141,0.00642247626732934,"mrna_FOS/mrna_PIK3R1/mrna_LIF/mrna_PIK3CD",4
"c-11","hsa04670","Leukocyte transendothelial migration","4/42","114/8086",0.00277605909879626,0.0145532795179319,0.00664128971003891,"mrna_PTPN11/mrna_PIK3R1/mrna_EZR/mrna_PIK3CD",4
"c-11","hsa04062","Chemokine signaling pathway","5/42","192/8086",0.00298677798682949,0.0151913833919035,0.00693248405471714,"mrna_LYN/mrna_PIK3R1/mrna_FOXO3/mrna_SRC/mrna_PIK3CD",5
"c-11","hsa04071","Sphingolipid signaling pathway","4/42","119/8086",0.00324230480950237,0.0151913833919035,0.00693248405471714,"mrna_PIK3R1/mrna_SPHK1/mrna_PIK3CD/mrna_PPP2R1A",4
"c-11","hsa04722","Neurotrophin signaling pathway","4/42","119/8086",0.00324230480950237,0.0151913833919035,0.00693248405471714,"mrna_PTPN11/mrna_PIK3R1/mrna_FOXO3/mrna_PIK3CD",4
"c-11","hsa05213","Endometrial cancer","3/42","58/8086",0.00329721040403859,0.0151913833919035,0.00693248405471714,"mrna_PIK3R1/mrna_FOXO3/mrna_PIK3CD",3
"c-11","hsa05130","Pathogenic Escherichia coli infection","5/42","197/8086",0.00333683565833718,0.0151913833919035,0.00693248405471714,"mrna_FOS/mrna_PTPN11/mrna_EZR/mrna_TUBB/mrna_SRC",5
"c-11","hsa04919","Thyroid hormone signaling pathway","4/42","121/8086",0.00344292952920294,0.0152724822705669,0.00696949297409501,"mrna_HIF1A/mrna_PIK3R1/mrna_SRC/mrna_PIK3CD",4
"c-11","hsa05169","Epstein-Barr virus infection","5/42","202/8086",0.00371569088153265,0.0158633548658617,0.00723913364733574,"mrna_LYN/mrna_PIK3R1/mrna_TYK2/mrna_PIK3CD/mrna_RELB",5
"c-11","hsa04611","Platelet activation","4/42","124/8086",0.00375952340751636,0.0158633548658617,0.00723913364733574,"mrna_LYN/mrna_PIK3R1/mrna_SRC/mrna_PIK3CD",4
"c-11","hsa05203","Viral carcinogenesis","5/42","204/8086",0.00387559044439222,0.0159637415923775,0.00728494444434628,"mrna_LYN/mrna_PIK3R1/mrna_HDAC4/mrna_SRC/mrna_PIK3CD",5
"c-11","hsa04213","Longevity regulating pathway - multiple species","3/42","62/8086",0.00398368365405024,0.0160273784221091,0.00731398467695882,"mrna_PIK3R1/mrna_FOXO3/mrna_PIK3CD",3
"c-11","hsa05417","Lipid and atherosclerosis","5/42","215/8086",0.00484490333010191,0.0184180286906839,0.00840494159903431,"mrna_FOS/mrna_LYN/mrna_PIK3R1/mrna_SRC/mrna_PIK3CD",5
"c-11","hsa05206","MicroRNAs in cancer","6/42","310/8086",0.00494979479344698,0.0184180286906839,0.00840494159903431,"mrna_FOXP1/mrna_PIK3R1/mrna_HDAC4/mrna_EZR/mrna_PIK3CD/mrna_TNC",6
"c-11","hsa04810","Regulation of actin cytoskeleton","5/42","218/8086",0.00513682603257405,0.0184180286906839,0.00840494159903431,"mrna_RRAS2/mrna_PIK3R1/mrna_EZR/mrna_SRC/mrna_PIK3CD",5
"c-11","hsa04664","Fc epsilon RI signaling pathway","3/42","68/8086",0.00516632542269494,0.0184180286906839,0.00840494159903431,"mrna_LYN/mrna_PIK3R1/mrna_PIK3CD",3
"c-11","hsa05135","Yersinia infection","4/42","137/8086",0.00536119223444949,0.0184180286906839,0.00840494159903431,"mrna_FOS/mrna_PIK3R1/mrna_SRC/mrna_PIK3CD",4
"c-11","hsa04915","Estrogen signaling pathway","4/42","138/8086",0.00550064613763256,0.0184180286906839,0.00840494159903431,"mrna_FOS/mrna_PIK3R1/mrna_SRC/mrna_PIK3CD",4
"c-11","hsa05120","Epithelial cell signaling in Helicobacter pylori infection","3/42","70/8086",0.00560264205047102,0.0184180286906839,0.00840494159903431,"mrna_PTPN11/mrna_LYN/mrna_SRC",3
"c-11","hsa05230","Central carbon metabolism in cancer","3/42","70/8086",0.00560264205047102,0.0184180286906839,0.00840494159903431,"mrna_HIF1A/mrna_PIK3R1/mrna_PIK3CD",3
"c-11","hsa05162","Measles","4/42","139/8086",0.0056425174601517,0.0184180286906839,0.00840494159903431,"mrna_FOS/mrna_PIK3R1/mrna_TYK2/mrna_PIK3CD",4
"c-11","hsa05418","Fluid shear stress and atherosclerosis","4/42","139/8086",0.0056425174601517,0.0184180286906839,0.00840494159903431,"mrna_FOS/mrna_PIK3R1/mrna_SRC/mrna_PIK3CD",4
"c-11","hsa04140","Autophagy - animal","4/42","141/8086",0.00593358722637011,0.0190094553733709,0.0086748351262721,"mrna_RRAS2/mrna_HIF1A/mrna_PIK3R1/mrna_PIK3CD",4
"c-11","hsa05223","Non-small cell lung cancer","3/42","72/8086",0.0060605141994368,0.0190630719364103,0.00869930267861741,"mrna_PIK3R1/mrna_FOXO3/mrna_PIK3CD",3
"c-11","hsa04014","Ras signaling pathway","5/42","232/8086",0.00666683889389633,0.0202344408534046,0.00923384888351291,"mrna_RRAS2/mrna_PTPN11/mrna_PIK3R1/mrna_PIK3CD/mrna_ETS1",5
"c-11","hsa05171","Coronavirus disease - COVID-19","5/42","232/8086",0.00666683889389633,0.0202344408534046,0.00923384888351291,"mrna_FOS/mrna_PIK3R1/mrna_TYK2/mrna_RPS27A/mrna_PIK3CD",5
"c-11","hsa05212","Pancreatic cancer","3/42","76/8086",0.00704202847399456,0.0210046711379493,0.00958533821324124,"mrna_PIK3R1/mrna_TGFBR2/mrna_PIK3CD",3
"c-11","hsa05160","Hepatitis C","4/42","157/8086",0.00863031267178337,0.0253058320715004,0.0115481436286129,"mrna_PIK3R1/mrna_TYK2/mrna_PIK3CD/mrna_PPP2R1A",4
"c-11","hsa04151","PI3K-Akt signaling pathway","6/42","354/8086",0.00932491817151481,0.0268868473945344,0.0122696291730458,"mrna_PIK3R1/mrna_FOXO3/mrna_PIK3CD/mrna_IL7R/mrna_TNC/mrna_PPP2R1A",6
"c-11","hsa04012","ErbB signaling pathway","3/42","85/8086",0.00958002536935154,0.0271695801458658,0.0123986523330693,"mrna_PIK3R1/mrna_SRC/mrna_PIK3CD",3
"c-11","hsa04211","Longevity regulating pathway","3/42","89/8086",0.0108584178059256,0.0302984883939538,0.0138265082418408,"mrna_PIK3R1/mrna_FOXO3/mrna_PIK3CD",3
"c-11","hsa05152","Tuberculosis","4/42","180/8086",0.0137550650993241,0.0377718454314774,0.0172369236833636,"mrna_MALT1/mrna_SPHK1/mrna_SRC/mrna_MRC2",4
"c-11","hsa04750","Inflammatory mediator regulation of TRP channels","3/42","98/8086",0.0140823098267186,0.0379944738583556,0.0173385186454315,"mrna_PIK3R1/mrna_SRC/mrna_PIK3CD",3
"c-11","hsa04360","Axon guidance","4/42","182/8086",0.0142753803514053,0.0379944738583556,0.0173385186454315,"mrna_PTPN11/mrna_PIK3R1/mrna_SRC/mrna_PIK3CD",4
"c-11","hsa04933","AGE-RAGE signaling pathway in diabetic complications","3/42","100/8086",0.0148649926657488,0.03896429895719,0.0177810917054412,"mrna_PIK3R1/mrna_TGFBR2/mrna_PIK3CD",3
"c-11","hsa04960","Aldosterone-regulated sodium reabsorption","2/42","37/8086",0.0156368124043729,0.0403756499396494,0.0184251520868495,"mrna_PIK3R1/mrna_PIK3CD",2
"c-11","hsa04613","Neutrophil extracellular trap formation","4/42","190/8086",0.0164818678840276,0.0407870833431966,0.0186129069104944,"mrna_PIK3R1/mrna_HDAC4/mrna_SRC/mrna_PIK3CD",4
"c-11","hsa04064","NF-kappa B signaling pathway","3/42","104/8086",0.016503444127305,0.0407870833431966,0.0186129069104944,"mrna_MALT1/mrna_LYN/mrna_RELB",3
"c-11","hsa04620","Toll-like receptor signaling pathway","3/42","104/8086",0.016503444127305,0.0407870833431966,0.0186129069104944,"mrna_FOS/mrna_PIK3R1/mrna_PIK3CD",3
"c-11","hsa04931","Insulin resistance","3/42","108/8086",0.0182398833661379,0.0444436594696036,0.0202815604515989,"mrna_PTPN11/mrna_PIK3R1/mrna_PIK3CD",3
"c-11","hsa04066","HIF-1 signaling pathway","3/42","109/8086",0.0186893664792697,0.0449063944571342,0.020492726402708,"mrna_HIF1A/mrna_PIK3R1/mrna_PIK3CD",3
"c-11","hsa04510","Focal adhesion","4/42","201/8086",0.0198511643943871,0.0470445402771092,0.0214684546442543,"mrna_PIK3R1/mrna_SRC/mrna_PIK3CD/mrna_TNC",4
"c-11","hsa04725","Cholinergic synapse","3/42","113/8086",0.0205489826960183,0.0479560232408107,0.021884403669369,"mrna_FOS/mrna_PIK3R1/mrna_PIK3CD",3
